,subsessionid,season_name,eventstrengthoffield,ccName,oldirating,newirating,carnum,carid,lapscomplete,finishposinclass,lapslead,displayName,startPos,points,numIncidents,finishPos,groupid,lapnum,custid,sesTime,flags,lap_time
28,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,7,419644,11855928,0,1195115.0
29,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,8,419644,13050366,0,1194438.0
30,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,9,419644,14246520,0,1196154.0
31,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,10,419644,15442927,0,1196407.0
32,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,11,419644,16641860,0,1198933.0
33,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,12,419644,17835481,0,1193621.0
34,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,13,419644,19033211,0,1197730.0
35,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,14,419644,20289457,0,1256246.0
36,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,15,419644,21735302,258,1445845.0
37,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,16,419644,22929777,0,1194475.0
38,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,17,419644,24127368,0,1197591.0
39,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,18,419644,25325141,0,1197773.0
40,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,19,419644,26520665,0,1195524.0
41,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4786,4835,2,72,20,1,1,Lukas+Podstata,0,183,1,1,419644,20,419644,27726141,16384,1205476.0
42,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,0,567943,3449343,0,0.0
43,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,1,567943,4692990,8192,1243647.0
44,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,2,567943,5888567,0,1195577.0
45,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,3,567943,7085587,0,1197020.0
46,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,4,567943,8281628,0,1196041.0
47,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,5,567943,9478356,0,1196728.0
48,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,6,567943,10673834,0,1195478.0
49,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,7,567943,11865987,0,1192153.0
50,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,8,567943,13060955,0,1194968.0
51,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,9,567943,14257501,0,1196546.0
52,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,10,567943,15450721,0,1193220.0
53,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,11,567943,16646864,0,1196143.0
54,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,12,567943,17842112,0,1195248.0
55,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,13,567943,19037841,0,1195729.0
56,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,14,567943,20295906,0,1258065.0
57,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,15,567943,21751751,2,1455845.0
58,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,16,567943,22948307,0,1196556.0
59,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,17,567943,24146085,0,1197778.0
60,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,18,567943,25343984,0,1197899.0
61,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,19,567943,26541815,0,1197831.0
62,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,4055,4113,5,43,20,2,0,Lucas+Urbain,1,175,0,2,567943,20,567943,27738287,16384,1196472.0
63,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,0,519716,3449433,0,0.0
64,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,1,519716,4714616,8192,1265183.0
65,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,2,519716,5908792,4,1194176.0
66,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,3,519716,7101533,0,1192741.0
67,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,4,519716,8298367,4,1196834.0
68,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,5,519716,9496143,4,1197776.0
69,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,6,519716,10694810,0,1198667.0
70,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,7,519716,11894928,0,1200118.0
71,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,8,519716,13094217,4,1199289.0
72,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,9,519716,14294812,0,1200595.0
73,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,10,519716,15493424,0,1198612.0
74,38023958,VRS+GT+Sprint+Series+-+2021+Season+2,3139,GT3+Class,5087,5115,1,132,20,3,0,Matias+M%C3%A4ki-Hoimela,10,167,5,3,519716,11,519716,16696769,0,1203345.0
