,seriesname,catid,seasonid,id_name,season
70,DIRTcar Pro Late Model Series ,3,3188,3188#DIRTcar_Pro_Late_Model_Series_,21S2
71,DIRTcar UMP Modified Series - Fixed,3,3189,3189#DIRTcar_UMP_Modified_Series_-_Fixed,21S2
72,SUPER DIRTcar Big Block Modified Series,3,3190,3190#SUPER_DIRTcar_Big_Block_Modified_Series,21S2
73,World of Outlaws Sprint Car Series,3,3191,3191#World_of_Outlaws_Sprint_Car_Series,21S2
74,AMSOIL USAC Sprint Car,3,3192,3192#AMSOIL_USAC_Sprint_Car,21S2
75,World of Outlaws Late Model Series ,3,3193,3193#World_of_Outlaws_Late_Model_Series_,21S2
76,Sling Mud for Fun - Sprint Cars,3,3194,3194#Sling_Mud_for_Fun_-_Sprint_Cars,21S2
77,Rookie iRacing Rallycross Series,4,3195,3195#Rookie_iRacing_Rallycross_Series,21S2
78,Pro 2 Lite Truck Championship,4,3196,3196#Pro_2_Lite_Truck_Championship,21S2
79,iRacing Rallycross Series,4,3197,3197#iRacing_Rallycross_Series,21S2
80,Pro 4 Off Road Racing Series,4,3198,3198#Pro_4_Off_Road_Racing_Series,21S2
81,Pro 2 and Pro 2 Lite Off Road Racing Series,4,3199,3199#Pro_2_and_Pro_2_Lite_Off_Road_Racing_Series,21S2
82,Sim-Lab Production Car Challenge,2,3201,3201#Sim-Lab_Production_Car_Challenge,21S2
83,Fanatec GT3 Challenge - Fixed,2,3202,3202#Fanatec_GT3_Challenge_-_Fixed,21S2
84,Nurburgring Endurance Championship,2,3225,3225#Nurburgring_Endurance_Championship,21S2
85,Creventic Endurance Series,2,3226,3226#Creventic_Endurance_Series,21S2
86,IndyCar iRacing Series,2,3227,3227#IndyCar_iRacing_Series,21S2
87,NASCAR Next Gen Cup Series Unranked - Fixed,1,3231,3231#NASCAR_Next_Gen_Cup_Series_Unranked_-_Fixed,21S2
88,NASCAR Next Gen Cup Series,1,3232,3232#NASCAR_Next_Gen_Cup_Series,21S2
89,iRacing.com Indy 500 - Fixed,1,3233,3233#iRacing.com_Indy_500_-_Fixed,21S2
